gdetail_no,grade_no,gdetail_name,sort_no
100012246,10011059,"프리미엄 럭셔리",0
100012248,10011060,"프리미엄 럭셔리",0
100012249,10011060,"럭셔리",0
100010940,10011060,"프레스티지",0
100010941,10011060,"파이니스트",0
100010945,10011062,"럭셔리",0
100010946,10011062,"프리미엄 럭셔리",0
100010947,10011062,"프레스티지",0
100010951,10011064,"럭셔리",0
100010952,10011064,"프리미엄 럭셔리",0
100010953,10011064,"프레스티지",0
100010954,10011065,"프레스티지",0
100010965,10011083,"스타일",0
100010966,10011083,"스타일 피버",0
100010967,10011083,"모던",0
100010968,10011083,"모던 피버",0
100011329,10011083,"프리미엄",0
100011176,10011083,"스마트",0
100013542,10011083,"인스퍼레이션",0
100011773,10011112,"다이나믹",0
100010973,10011113,"최고급형",0
100012043,10011113,"기본형",0
100009916,10004957,"장애우용 LE BLACK",0
100012078,10011134,"기본형",0
100010983,10011134,"디럭스",0
100010984,10011135,"디럭스",0
100012079,10011135,"기본형",0
100011973,10011136,"기본형",0
100010985,10011136,"프리미엄 세이프티",0
100010986,10011137,"프리미엄 세이프티",0
100010989,10011146,SE,0
100009775,10004962,LE,0
100007048,10004971,"고급형",0
100010998,10004983,"S/S 컬렉션",0
100007329,10004992,"블랙",0
100011009,10011195,"디럭스",0
100012199,10011196,"기본형",0
100011010,10011196,"디럭스",0
100011534,10011196,"코어",0
100012201,10011199,"코어",0
100012202,10011199,"기본형",0
100011012,10011199,"디럭스",0
100007472,10005140,"일반형",0
100011018,10011207,"스포츠",0
100011019,10011208,"스포츠",0
100012340,10011214,"일반캡",0
100008981,10003822,"Turbo S",0
100007442,10003845,"유니크",0
100010015,10003859,V6,0
100008632,10003871,"프리미엄",0
100010072,10004272,"프레스티지",0
100007003,10004299,"고급형",0
100009902,10004311,"블루프리미엄",0
100009449,10004343,"LX 영팩",0
100007023,10004359,"고급형",0
100012138,10004893,"LT 스페셜",0
100009117,10004963,"모범형",0
100008256,10005138,"고급형",0
100008257,10005139,"고급형",0
100010657,10008585,996,0
100010942,10011061,"럭셔리",0
100010990,10011146,LE,0
100011011,10011198,"디럭스",0
100012200,10011198,"기본형",0
100008307,10005507,"디럭스 알로이휠",0
100013167,10011410,"아이언맨 에디션",0
100011132,10011410,"스마트",0
100011134,10011410,"모던 팝",0
100011136,10011410,"모던 아트",0
100011137,10011410,"프리미엄",0
100011139,10011411,"프리미엄",0
100011140,10011411,"프리미엄 스페셜",0
100011142,10011412,"모던",0
100011143,10011412,"모던 팝",0
100013541,10011412,"모던 초이스",0
100013493,10011413,"모던초이스",0
100011147,10011413,"스마트",0
100011149,10011413,"모던 팝",0
100011151,10011413,"모던 아트",0
100011152,10011413,"프리미엄",0
100011155,10011414,"프리미엄 스페셜",0
100011156,10011415,"프레스티지",0
100007320,10003861,"밸류",0
100010093,10003983,"GX 점보",0
100007368,10004154,"스위트",0
100008002,10004257,SL,0
100008906,10005058,PRESTIGE,0
100007062,10005146,"고급형",0
100007310,10005329,"마이티",0
100012214,10011083,"얼티밋 에디션",0
100013492,10011410,"모던초이스",0
100011135,10011410,"모던 테크",0
100011141,10011412,"스마트",0
100011144,10011412,"모던 테크",0
100011145,10011412,"모던 아트",0
100011146,10011412,"프리미엄",0
100013168,10011412,"아이언맨 에디션",0
100011157,10011423,"프라임",0
100011158,10011423,"플래티넘",0
100011159,10011423,"플래티넘 익스트림팩",0
100011414,10011423,"드림에디션",0
100013225,10011423,"알칸타라에디션",0
100013226,10011424,"알칸타라에디션",0
100011160,10011424,"프라임",0
100011161,10011424,"플래티넘",0
100011162,10011424,"플래티넘 익스트림팩",0
100011164,10011425,"마스터즈",0
100011165,10011425,GT,0
100011166,10011426,"마스터즈",0
100011167,10011426,GT,0
100011168,10011427,"프라임",0
100011169,10011427,"플래티넘",0
100011545,10011427,"프라임 라이트",0
100011546,10011428,"프라임 라이트",0
100011417,10011428,"드림에디션",0
100011171,10011428,"플래티넘",0
100011174,10011440,INTENS,0
100011175,10011440,CARGO,0
100011181,10011507,EL,0
100011184,10011507,"TDI 프레스티지",0
100011187,10011509,"프레스티지",0
100011976,10011513,"2WD S 기본형",0
100011977,10011513,"2WD S 고급형",0
100011978,10011513,"2WD S 최고급형",0
100011979,10011513,"4WD S 기본형",0
100011980,10011513,"4WD S 고급형",0
100011981,10011513,"4WD S 최고급형",0
100011982,10011513,"4WD SL 기본형",0
100011991,10011513,"2WD S CT 기본형",0
100011992,10011513,"2WD S CT 고급형",0
100011993,10011513,"2WD S CT 최고급형",0
100011985,10011514,"4WD SL 기본형",0
100011986,10011514,"4WD SL 고급형",0
100011987,10011514,"4WD SL 최고급형",0
100011988,10011514,"4WD SR 기본형",0
100011989,10011514,"4WD SR 고급형",0
100011990,10011514,"4WD SR 최고급형",0
100011994,10011515,"2WD 고급형",0
100011996,10011515,"2WD CT 고급형",0
100011997,10011515,"2WD CT 최고급형",0
100011998,10011515,"4WD 고급형",0
100011999,10011515,"4WD 최고급형",0
100012000,10011516,"4WD 최고급형",0
100012002,10011518,"320LX 4WD",0
100012004,10011519,"CT 고급형",0
100012005,10011519,"CT 최고급형",0
100012006,10011519,"4WD 기본형",0
100012007,10011519,"4WD 최고급형",0
100011191,10011520,"최고급형",0
100007273,10003841,"럭셔리",0
100009712,10003952,"프리미엄",0
100009911,10003952,"월드컵에디션",0
100006983,10004178,"고급형",0
100009001,10004224,VX,0
100008227,10004233,"고급형",0
100009235,10004233,"최고급형",0
100006989,10004250,"고급형",0
100009671,10004260,"최고급형-세이프티",0
100011627,10004311,"세이프티",0
100011628,10004311,"VIP팩",0
100011642,10004337,"월드팩",0
100009886,10004403,"기본형 디젤",0
100011963,10005012,"기본형",0
100011964,10005012,"프리미엄",0
100008133,10005129,"2WD 최고급형",0
100009575,10005129,"4WD 최고급형",0
100009044,10005129,"4WD 고급형",0
100008387,10005189,"슈퍼프라임",0
100010793,10008203,iL,0
100010836,10008218,i,0
100010837,10008218,Li,0
100010613,10008572,997,0
100010791,10009560,"스페셜",0
100012198,10011195,"기본형",0
100011138,10011411,"모던",0
100012009,10011520,"4WD 최고급형",0
100012010,10011521,"2WD CT 일반형",0
100012011,10011521,"4WD 고급형",0
100011193,10011521,"고급형",0
100011194,10011522,"기본형",0
100011195,10011522,"고급형",0
100011196,10011522,"최고급형",0
100011197,10011523,"기본형",0
100011198,10011523,"고급형",0
100011199,10011523,"최고급형",0
100011200,10011524,"고급형",0
100011202,10011525,"최고급형",0
100011203,10011526,"일반형",0
100011204,10011526,"고급형",0
100012153,10011535,"기본형",0
100012154,10011535,"고급형",0
100012155,10011535,"최고급형",0
100012156,10011540,"기본형",0
100012157,10011540,"고급형",0
100012158,10011540,"최고급형",0
100012159,10011541,"고급형",0
100012160,10011541,"최고급형",0
100012161,10011542,"고급형",0
100012162,10011542,"최고급형",0
100012168,10011543,"고급형",0
100012169,10011543,"최고급형",0
100012163,10011547,"고급형",0
100012164,10011547,"최고급형",0
100012166,10011549,"최고급형",0
100012171,10011550,"고급형",0
100007357,10003953,"스마트",0
100008216,10003967,"고급형",0
100008687,10004115,"Di GOLD",0
100009140,10004166,"세이프티",0
100009163,10004188,"스페셜",0
100007163,10004191,"기본형",0
100008352,10004872,"리빅 DLX",0
100008363,10005330,"마이티II",0
100009787,10005458,"LT형",0
100008023,10005461,Star,0
100011474,10006230,"스포츠 에디션",0
100010302,10007097,"볼란테",0
100010440,10007338,M,0
100010489,10007438,"LS 디럭스 팩",0
100010839,10008219,Li,0
100012167,10011551,"최고급형",0
100012172,10011552,"일반형",0
100012175,10011555,"고급형",0
100012176,10011555,"최고급형",0
100012177,10011557,"기본형",0
100012178,10011557,"고급형",0
100012179,10011557,"최고급형",0
100012181,10011558,"고급형",0
100012182,10011558,"최고급형",0
100012184,10011559,"고급형",0
100012185,10011559,"최고급형",0
100012187,10011560,"고급형",0
100012188,10011560,"최고급형",0
100011206,10011561,"기본형",0
100011207,10011561,"고급형",0
100011208,10011561,"최고급형",0
100011209,10011561,"소프트탑",0
100011210,10011562,"기본형",0
100011211,10011562,K-LOOK,0
100011212,10011562,"비트",0
100011213,10011562,"리미티드",0
100011214,10011563,"기본형",0
100011215,10011563,GUARDIAN,0
100011216,10011563,PARK,0
100011217,10011563,K-LOOK,0
100011218,10011563,"리미티드",0
100011219,10011564,"기본형",0
100011220,10011564,COMFORT,0
100011221,10011564,LUXURY,0
100011222,10011565,"기본형",0
100011224,10011565,"비트",0
100011225,10011565,"리미티드",0
100011226,10011566,"기본형",0
100011227,10011566,GUARDIAN,0
100011228,10011566,PARK,0
100011229,10011566,"매니아",0
100011230,10011566,K-LOOK,0
100011231,10011566,"리미티드",0
100011232,10011567,"기본형",0
100012016,10011568,"고급형",0
100012019,10011569,"최고급형",0
100012021,10011570,"최고급형",0
100012022,10011571,"고급형",0
100012023,10011571,"최고급형",0
100012025,10011572,"최고급형",0
100012027,10011573,"최고급형",0
100011236,10011575,"고급형",0
100011237,10011575,"최고급형",0
100011239,10011579,"고급형",0
100011240,10011579,"최고급형",0
100011243,10011585,"최고급형",0
100011246,10011589,"최고급형",0
100012034,10011593,"기본형",0
100012035,10011593,"고급형",0
100012036,10011593,"최고급형",0
100012038,10011597,"고급형",0
100012039,10011597,"최고급형",0
100011247,10011600,"에코",0
100011248,10011600,"클럽",0
100011249,10011600,"패션",0
100007155,10003960,"기본형",0
100010254,10003982,"GRX MULTI RV 터보인터쿨러 ",0
100008080,10004133,"1.1 SLX",0
100010006,10004175,SX,0
100007174,10004238,"기본형",0
100007175,10004241,"기본형",0
100009061,10004241,"고급형",0
100008699,10004256,DLX,0
100009940,10004261,"프리미엄",0
100006995,10004263,"고급형",0
100010212,10004270,"프레스티지",0
100010251,10004270,"프레스티지 VIP패키지",0
100008780,10004287,GT,0
100011661,10004408,"월드스페셜",0
100008532,10004447,"최고급형",0
100007591,10004476,"판넬밴 EST",0
100009687,10004871,"판넬밴 SUPER",0
100013320,10004887,"LPG LP 고급형",0
100007047,10004963,"고급형",0
100009252,10005134,"최고급형",0
100008254,10005134,"고급형",0
100008608,10005184,"프라임",0
100010374,10007129,"베이직",0
100012018,10011569,"고급형",0
100012029,10011584,"스페셜",0
100011245,10011589,"고급형",0
100011250,10011601,"클럽",0
100011251,10011601,LEISURE,0
100011253,10011601,"비젼",0
100011256,10011605,"클럽",0
100011259,10011606,"클럽",0
100011260,10011606,"패션",0
100011261,10011606,"비젼",0
100011262,10011609,"9인승",0
100011276,10011610,"11인승",0
100011263,10011610,"9인승",0
100011264,10011611,"9인승",0
100011277,10011612,"11인승",0
100011265,10011612,"9인승",0
100011266,10011613,"9인승",0
100011278,10011613,"11인승",0
100011267,10011614,"9인승",0
100011280,10011615,"11인승",0
100012059,10011615,"11인승 하이루프",0
100011281,10011617,"11인승",0
100011270,10011618,"9인승",0
100011282,10011618,"11인승",0
100011283,10011619,"11인승",0
100011271,10011619,"9인승",0
100011284,10011620,"11인승",0
100012228,10011658,"어드밴스드",0
100012232,10011659,"어드밴스드",0
100012233,10011659,"슈프림",0
100012234,10011659,"스포츠 패키지",0
100012328,10011660,"프레스티지",0
100012238,10011661,"엘리트",0
100012239,10011661,"프레스티지",0
100012243,10011663,"어드밴스드",0
100012245,10011663,"엘리트",0
100013191,10011680,"마스터 스페셜",0
100011300,10011680,"노블레스",0
100011302,10011681,"노블레스",0
100013193,10011682,"마스터 스페셜",0
100009635,10003974,"슈퍼형",0
100011835,10003980,"GRX 4WD",0
100013239,10004111,"기본형",0
100008935,10004173,"SLX ",0
100009122,10004213,"보냉탑",0
100008224,10004229,"고급형",0
100011655,10004246,"기본형",0
100008325,10004260,"럭셔리",0
100011472,10006230,"에센스",0
100009889,10003721,"디럭스",0
100010439,10007338,E,0
100010085,10004423,"GLX 11인승 프리미엄",0
100012057,10011615,"9인승 하이루프",0
100011273,10011621,"9인승",0
100012325,10011660,"어드밴스드",0
100011303,10011682,"럭셔리",0
100011304,10011682,"프레스티지",0
100011305,10011682,"노블레스",0
100011306,10011682,"노블레스 스페셜",0
100011456,10011682,"마스터",0
100011646,10011683,"넘버원 에디션",0
100011307,10011683,"럭셔리",0
100011308,10011683,"프레스티지",0
100011310,10011683,"노블레스 스페셜",0
100013194,10011683,"마스터 스페셜",0
100011311,10011684,"프레스티지",0
100011312,10011684,"노블레스",0
100011313,10011684,"노블레스 스페셜",0
100011458,10011684,"마스터",0
100011459,10011685,"마스터",0
100011647,10011685,"넘버원 에디션",0
100011317,10011685,"노블레스 스페셜",0
100013196,10011685,"마스터 스페셜",0
100011972,10011686,"LTZ 프리미엄 세이프티",0
100011318,10011688,"기본형",0
100012048,10011692,Plus,0
100012050,10011694,"Plus II",0
100011514,10011760,"11인승",0
100011342,10011771,"기본형",0
100011344,10011771,"파노라믹 에디션",0
100013224,10011771,"레드 에디션",0
100011346,10011772,"어드벤처",0
100011347,10011772,"프레스티지",0
100011348,10011772,"노블레스",0
100011350,10011773,"어드벤처",0
100011351,10011773,"프레스티지",0
100011352,10011773,"노블레스",0
100013515,10011773,"프레스티지 스페셜",0
100013653,10011773,"다이내믹 에디션",0
100007131,10003807,"기본형",0
100010125,10004423,"가솔린 11인승",0
100010178,10004423,"가솔린 11인승 프리미엄",0
100009752,10004423,"GLX 11인승",0
100009965,10004423,"GLX 11인승 최고급형",0
100006943,10004423,"7인승 기본형",0
100008172,10004423,"7인승 고급형",0
100007803,10004422,"GLX 11인승",0
100008904,10004422,"President 11인승",0
100009708,10003807,"프리미엄",0
100009020,10004421,"11인승 GLX",0
100006945,10004421,"8인승",0
100010026,10003849,XL,0
100007834,10004420,"GX 고급형",0
100008530,10004419,"최고급형",0
100009190,10003856,"인터쿨러엑시드",0
100013241,10004113,"고급형",0
100007182,10004419,"기본형",0
100007031,10004418,"고급형",0
100007685,10003983,CLUB,0
100008276,10004414,"그랜드팩",0
100007030,10004414,"고급형",0
100007833,10004417,"GX 고급형",0
100009757,10004728,GTE,0
100009303,10004745,"프리미엄",0
100007946,10004954,PLUS,0
100009347,10005326,"e 마이티",0
100008359,10005326,"마이티 II",0
100007307,10005326,"마이티",0
100006832,10005469,+,0
100006937,10005503,"5인",0
100008169,10005503,"7인",0
100011073,10006917,"프리미엄",0
100011074,10006917,"S 포트폴리오",0
100013234,10004114,"고급",0
100011290,10011629,"기본형",0
